Heavy particle collisions / Elastic Scattering / H, H --> H
IAEA-APID-8 (1998)
Differential cross sections
 
Validity limits and fit function with fit parameters


ID	Process	Reaction	Validity limits in sr	Energy origin	Limits in authors' unit	Fit function
1	EL	H, H (E= .100 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
2	EL	H, H (E= 1.00 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
3	EL	H, H (E= 1.25 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
4	EL	H, H (E= 1.58 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
5	EL	H, H (E= 1.99 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
6	EL	H, H (E= 2.51 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
7	EL	H, H (E= 3.16 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
8	EL	H, H (E= 3.98 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
9	EL	H, H (E= 5.01 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
10	EL	H, H (E= 6.30 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
11	EL	H, H (E= 7.94 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
12	EL	H, H (E= .125 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
13	EL	H, H (E= 10.0 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
14	EL	H, H (E= 12.5 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
15	EL	H, H (E= 15.8 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
16	EL	H, H (E= 19.9 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
17	EL	H, H (E= 25.1 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
18	EL	H, H (E= 31.6 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
19	EL	H, H (E= 39.8 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
20	EL	H, H (E= 50.1 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
21	EL	H, H (E= 63.0 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
22	EL	H, H (E= 79.4 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
23	EL	H, H (E= .158 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
24	EL	H, H (E= 100. eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
25	EL	H, H (E= .199 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
26	EL	H, H (E= .251 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
27	EL	H, H (E= .316 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
28	EL	H, H (E= .398 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
29	EL	H, H (E= .501 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
30	EL	H, H (E= .631 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
31	EL	H, H (E= .794 eV CM Energy) --> H, H(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
Units conversion	Graphic layouts	Output options
x	Energy origin	y

sr

Projectile

cm2
cm2
vs
sr	PNG file
PDF file
GZipped PostScript file
XML
Numerical data
   1   	H, H (E= .100 eV CM Energy) --> H, H

P.S. Krstic, D.R. Schultz
IAEA-APID-8 (1998)
User Units	Authors' Units
Angle in sr (CenterOfMass)	Cross section in cm2	Differential cross sections cm2 vs rd (CenterOfMass)
2.3529E+00	9.4050E-17	2.3529E+00	3.3586E+00
2.3585E+00	9.7496E-17	2.3585E+00	3.4816E+00
2.3641E+00	1.0053E-16	2.3641E+00	3.5899E+00
2.3696E+00	1.0315E-16	2.3696E+00	3.6837E+00
2.3751E+00	1.0495E-16	2.3751E+00	3.7477E+00
2.3806E+00	1.0620E-16	2.3806E+00	3.7924E+00
2.3861E+00	1.0696E-16	2.3861E+00	3.8194E+00
2.3916E+00	1.0666E-16	2.3916E+00	3.8090E+00
2.3971E+00	1.0592E-16	2.3971E+00	3.7823E+00
2.4025E+00	1.0485E-16	2.4025E+00	3.7442E+00
2.4080E+00	1.0288E-16	2.4080E+00	3.6738E+00
2.4134E+00	1.0074E-16	2.4134E+00	3.5974E+00
2.4188E+00	9.8653E-17	2.4188E+00	3.5230E+00
2.4242E+00	9.6134E-17	2.4242E+00	3.4330E+00
2.4296E+00	9.3831E-17	2.4296E+00	3.3508E+00
2.4350E+00	9.2004E-17	2.4350E+00	3.2855E+00
2.4403E+00	9.0368E-17	2.4403E+00	3.2271E+00
2.4457E+00	8.9319E-17	2.4457E+00	3.1896E+00
2.4510E+00	8.8989E-17	2.4510E+00	3.1778E+00
2.4563E+00	8.9373E-17	2.4563E+00	3.1916E+00
2.4616E+00	9.0588E-17	2.4616E+00	3.2349E+00
2.4669E+00	9.2451E-17	2.4669E+00	3.3015E+00
2.4721E+00	9.5218E-17	2.4721E+00	3.4003E+00
2.4774E+00	9.8870E-17	2.4774E+00	3.5307E+00
2.4826E+00	1.0281E-16	2.4826E+00	3.6713E+00
2.4878E+00	1.0738E-16	2.4878E+00	3.8346E+00
2.4931E+00	1.1264E-16	2.4931E+00	4.0226E+00
2.4982E+00	1.1771E-16	2.4982E+00	4.2035E+00
2.5034E+00	1.2279E-16	2.5034E+00	4.3849E+00
2.5086E+00	1.2812E-16	2.5086E+00	4.5754E+00
2.5137E+00	1.3287E-16	2.5137E+00	4.7450E+00
2.5188E+00	1.3701E-16	2.5188E+00	4.8926E+00
2.5240E+00	1.4082E-16	2.5240E+00	5.0289E+00
2.5290E+00	1.4387E-16	2.5290E+00	5.1377E+00
2.5341E+00	1.4607E-16	2.5341E+00	5.2162E+00
2.5392E+00	1.4752E-16	2.5392E+00	5.2680E+00
2.5442E+00	1.4818E-16	2.5442E+00	5.2916E+00
2.5493E+00	1.4829E-16	2.5493E+00	5.2954E+00
2.5543E+00	1.4772E-16	2.5543E+00	5.2751E+00
2.5593E+00	1.4646E-16	2.5593E+00	5.2303E+00
2.5643E+00	1.4522E-16	2.5643E+00	5.1860E+00
2.5692E+00	1.4392E-16	2.5692E+00	5.1395E+00
2.5742E+00	1.4221E-16	2.5742E+00	5.0784E+00
2.5791E+00	1.4091E-16	2.5791E+00	5.0319E+00
2.5840E+00	1.4029E-16	2.5840E+00	5.0097E+00
2.5889E+00	1.3982E-16	2.5889E+00	4.9929E+00
2.5938E+00	1.3997E-16	2.5938E+00	4.9986E+00
2.5987E+00	1.4124E-16	2.5987E+00	5.0438E+00
2.6035E+00	1.4330E-16	2.6035E+00	5.1173E+00
2.6083E+00	1.4635E-16	2.6083E+00	5.2261E+00
2.6132E+00	1.5059E-16	2.6132E+00	5.3777E+00
2.6180E+00	1.5585E-16	2.6180E+00	5.5656E+00
2.6227E+00	1.6242E-16	2.6227E+00	5.8002E+00
2.6275E+00	1.7015E-16	2.6275E+00	6.0760E+00
2.6322E+00	1.7824E-16	2.6322E+00	6.3652E+00
2.6370E+00	1.8692E-16	2.6370E+00	6.6752E+00
2.6417E+00	1.9621E-16	2.6417E+00	7.0067E+00
2.6464E+00	2.0477E-16	2.6464E+00	7.3126E+00
2.6510E+00	2.1224E-16	2.6510E+00	7.5792E+00
2.6557E+00	2.1922E-16	2.6557E+00	7.8285E+00
2.6603E+00	2.2511E-16	2.6603E+00	8.0388E+00
2.6649E+00	2.2938E-16	2.6649E+00	8.1914E+00
2.6695E+00	2.3294E-16	2.6695E+00	8.3184E+00
2.6741E+00	2.3633E-16	2.6741E+00	8.4393E+00
2.6787E+00	2.3970E-16	2.6787E+00	8.5597E+00
2.6832E+00	2.4387E-16	2.6832E+00	8.7087E+00
2.6877E+00	2.4912E-16	2.6877E+00	8.8963E+00
2.6923E+00	2.5519E-16	2.6923E+00	9.1130E+00
2.6967E+00	2.6246E-16	2.6967E+00	9.3726E+00
2.7012E+00	2.7042E-16	2.7012E+00	9.6570E+00
2.7056E+00	2.7711E-16	2.7056E+00	9.8959E+00
2.7101E+00	2.8191E-16	2.7101E+00	1.0067E+01
2.7145E+00	2.8528E-16	2.7145E+00	1.0188E+01
2.7189E+00	2.8628E-16	2.7189E+00	1.0223E+01
2.7233E+00	2.8442E-16	2.7233E+00	1.0157E+01
2.7276E+00	2.8202E-16	2.7276E+00	1.0071E+01
2.7319E+00	2.8169E-16	2.7319E+00	1.0059E+01
2.7363E+00	2.8513E-16	2.7363E+00	1.0182E+01
2.7406E+00	2.9501E-16	2.7406E+00	1.0535E+01
2.7448E+00	3.1382E-16	2.7448E+00	1.1207E+01
2.7491E+00	3.4192E-16	2.7491E+00	1.2210E+01
2.7533E+00	3.7896E-16	2.7533E+00	1.3533E+01
2.7575E+00	4.2358E-16	2.7575E+00	1.5126E+01
2.7617E+00	4.7097E-16	2.7617E+00	1.6819E+01
2.7659E+00	5.1537E-16	2.7659E+00	1.8404E+01
2.7701E+00	5.5334E-16	2.7701E+00	1.9760E+01
2.7742E+00	5.8151E-16	2.7742E+00	2.0766E+01
2.7783E+00	5.9578E-16	2.7783E+00	2.1276E+01
2.7824E+00	5.9594E-16	2.7824E+00	2.1281E+01
2.7865E+00	5.8672E-16	2.7865E+00	2.0952E+01
2.7906E+00	5.7397E-16	2.7906E+00	2.0497E+01
2.7946E+00	5.6449E-16	2.7946E+00	2.0158E+01
2.7986E+00	5.6722E-16	2.7986E+00	2.0256E+01
2.8026E+00	5.8965E-16	2.8026E+00	2.1057E+01
2.8066E+00	6.3541E-16	2.8066E+00	2.2691E+01
2.8105E+00	7.0590E-16	2.8105E+00	2.5208E+01
2.8145E+00	7.9915E-16	2.8145E+00	2.8538E+01
2.8184E+00	9.0676E-16	2.8184E+00	3.2381E+01
2.8223E+00	1.0168E-15	2.8223E+00	3.6312E+01
2.8261E+00	1.1188E-15	2.8261E+00	3.9952E+01
2.8300E+00	1.2029E-15	2.8300E+00	4.2957E+01
2.8338E+00	1.2603E-15	2.8338E+00	4.5005E+01
2.8376E+00	1.2870E-15	2.8376E+00	4.5960E+01
2.8414E+00	1.2865E-15	2.8414E+00	4.5940E+01
2.8452E+00	1.2661E-15	2.8452E+00	4.5214E+01
2.8489E+00	1.2366E-15	2.8489E+00	4.4159E+01
2.8526E+00	1.2123E-15	2.8526E+00	4.3291E+01
2.8563E+00	1.2076E-15	2.8563E+00	4.3124E+01
2.8600E+00	1.2315E-15	2.8600E+00	4.3977E+01
2.8637E+00	1.2869E-15	2.8637E+00	4.5957E+01
2.8673E+00	1.3728E-15	2.8673E+00	4.9025E+01
2.8709E+00	1.4818E-15	2.8709E+00	5.2917E+01
2.8745E+00	1.5993E-15	2.8745E+00	5.7112E+01
2.8781E+00	1.7073E-15	2.8781E+00	6.0967E+01
2.8816E+00	1.7895E-15	2.8816E+00	6.3903E+01
2.8852E+00	1.8328E-15	2.8852E+00	6.5452E+01
2.8887E+00	1.8284E-15	2.8887E+00	6.5293E+01
2.8922E+00	1.7745E-15	2.8922E+00	6.3367E+01
2.8956E+00	1.6780E-15	2.8956E+00	5.9923E+01
2.8991E+00	1.5520E-15	2.8991E+00	5.5424E+01
2.9025E+00	1.4121E-15	2.9025E+00	5.0427E+01
2.9059E+00	1.2752E-15	2.9059E+00	4.5537E+01
2.9092E+00	1.1578E-15	2.9092E+00	4.1346E+01
2.9126E+00	1.0724E-15	2.9126E+00	3.8296E+01
2.9159E+00	1.0236E-15	2.9159E+00	3.6553E+01
2.9192E+00	1.0083E-15	2.9192E+00	3.6008E+01
2.9225E+00	1.0187E-15	2.9225E+00	3.6380E+01
2.9258E+00	1.0442E-15	2.9258E+00	3.7291E+01
2.9290E+00	1.0728E-15	2.9290E+00	3.8311E+01
2.9322E+00	1.0926E-15	2.9322E+00	3.9019E+01
2.9354E+00	1.0953E-15	2.9354E+00	3.9115E+01
2.9386E+00	1.0788E-15	2.9386E+00	3.8524E+01
2.9417E+00	1.0470E-15	2.9417E+00	3.7391E+01
2.9448E+00	1.0082E-15	2.9448E+00	3.6003E+01
2.9479E+00	9.7324E-16	2.9479E+00	3.4755E+01
2.9510E+00	9.5591E-16	2.9510E+00	3.4136E+01
2.9541E+00	9.6972E-16	2.9541E+00	3.4629E+01
2.9571E+00	1.0231E-15	2.9571E+00	3.6535E+01
2.9601E+00	1.1162E-15	2.9601E+00	3.9861E+01
2.9631E+00	1.2429E-15	2.9631E+00	4.4386E+01
2.9661E+00	1.3935E-15	2.9661E+00	4.9761E+01
2.9690E+00	1.5551E-15	2.9690E+00	5.5534E+01
2.9719E+00	1.7115E-15	2.9719E+00	6.1117E+01
2.9748E+00	1.8451E-15	2.9748E+00	6.5890E+01
2.9777E+00	1.9433E-15	2.9777E+00	6.9397E+01
2.9805E+00	2.0012E-15	2.9805E+00	7.1465E+01
2.9833E+00	2.0201E-15	2.9833E+00	7.2140E+01
2.9861E+00	2.0050E-15	2.9861E+00	7.1599E+01
2.9889E+00	1.9646E-15	2.9889E+00	7.0158E+01
2.9917E+00	1.9131E-15	2.9917E+00	6.8317E+01
2.9944E+00	1.8669E-15	2.9944E+00	6.6669E+01
2.9971E+00	1.8396E-15	2.9971E+00	6.5692E+01
2.9998E+00	1.8375E-15	2.9998E+00	6.5619E+01
3.0024E+00	1.8618E-15	3.0024E+00	6.6486E+01
3.0051E+00	1.9110E-15	3.0051E+00	6.8243E+01
3.0077E+00	1.9816E-15	3.0077E+00	7.0764E+01
3.0102E+00	2.0652E-15	3.0102E+00	7.3749E+01
3.0128E+00	2.1484E-15	3.0128E+00	7.6722E+01
3.0153E+00	2.2172E-15	3.0153E+00	7.9177E+01
3.0178E+00	2.2615E-15	3.0178E+00	8.0761E+01
3.0203E+00	2.2774E-15	3.0203E+00	8.1326E+01
3.0228E+00	2.2640E-15	3.0228E+00	8.0848E+01
3.0252E+00	2.2228E-15	3.0252E+00	7.9376E+01
3.0276E+00	2.1588E-15	3.0276E+00	7.7093E+01
3.0300E+00	2.0837E-15	3.0300E+00	7.4411E+01
3.0324E+00	2.0149E-15	3.0324E+00	7.1952E+01
3.0347E+00	1.9703E-15	3.0347E+00	7.0360E+01
3.0370E+00	1.9635E-15	3.0370E+00	7.0118E+01
3.0393E+00	2.0014E-15	3.0393E+00	7.1471E+01
3.0416E+00	2.0861E-15	3.0416E+00	7.4496E+01
3.0438E+00	2.2169E-15	3.0438E+00	7.9167E+01
3.0461E+00	2.3898E-15	3.0461E+00	8.5340E+01
3.0483E+00	2.5954E-15	3.0483E+00	9.2683E+01
3.0504E+00	2.8187E-15	3.0504E+00	1.0066E+02
3.0526E+00	3.0421E-15	3.0526E+00	1.0863E+02
3.0547E+00	3.2499E-15	3.0547E+00	1.1606E+02
3.0568E+00	3.4324E-15	3.0568E+00	1.2257E+02
3.0589E+00	3.5847E-15	3.0589E+00	1.2801E+02
3.0609E+00	3.7054E-15	3.0609E+00	1.3232E+02
3.0629E+00	3.7943E-15	3.0629E+00	1.3550E+02
3.0649E+00	3.8535E-15	3.0649E+00	1.3761E+02
3.0669E+00	3.8891E-15	3.0669E+00	1.3888E+02
3.0688E+00	3.9120E-15	3.0688E+00	1.3970E+02
3.0707E+00	3.9363E-15	3.0707E+00	1.4057E+02
3.0726E+00	3.9756E-15	3.0726E+00	1.4197E+02
3.0745E+00	4.0394E-15	3.0745E+00	1.4425E+02
3.0764E+00	4.1310E-15	3.0764E+00	1.4752E+02
3.0782E+00	4.2488E-15	3.0782E+00	1.5173E+02
3.0800E+00	4.3884E-15	3.0800E+00	1.5671E+02
3.0817E+00	4.5437E-15	3.0817E+00	1.6226E+02
3.0835E+00	4.7083E-15	3.0835E+00	1.6813E+02
3.0852E+00	4.8747E-15	3.0852E+00	1.7408E+02
3.0869E+00	5.0358E-15	3.0869E+00	1.7983E+02
3.0886E+00	5.1863E-15	3.0886E+00	1.8520E+02
3.0902E+00	5.3254E-15	3.0902E+00	1.9017E+02
3.0918E+00	5.4587E-15	3.0918E+00	1.9493E+02
3.0934E+00	5.5982E-15	3.0934E+00	1.9991E+02
3.0950E+00	5.7593E-15	3.0950E+00	2.0567E+02
3.0965E+00	5.9561E-15	3.0965E+00	2.1269E+02
3.0980E+00	6.1959E-15	3.0980E+00	2.2126E+02
3.0995E+00	6.4749E-15	3.0995E+00	2.3122E+02
3.1010E+00	6.7767E-15	3.1010E+00	2.4200E+02
3.1024E+00	7.0738E-15	3.1024E+00	2.5261E+02
3.1038E+00	7.3318E-15	3.1038E+00	2.6182E+02
3.1052E+00	7.5160E-15	3.1052E+00	2.6840E+02
3.1066E+00	7.5987E-15	3.1066E+00	2.7135E+02
3.1079E+00	7.5657E-15	3.1079E+00	2.7018E+02
3.1092E+00	7.4230E-15	3.1092E+00	2.6508E+02
3.1105E+00	7.2003E-15	3.1105E+00	2.5713E+02
3.1118E+00	6.9527E-15	3.1118E+00	2.4829E+02
3.1130E+00	6.7597E-15	3.1130E+00	2.4139E+02
3.1142E+00	6.7198E-15	3.1142E+00	2.3997E+02
3.1154E+00	6.9436E-15	3.1154E+00	2.4796E+02
3.1165E+00	7.5428E-15	3.1165E+00	2.6936E+02
3.1177E+00	8.6195E-15	3.1177E+00	3.0781E+02
3.1188E+00	1.0254E-14	3.1188E+00	3.6618E+02
3.1199E+00	1.2496E-14	3.1199E+00	4.4624E+02
3.1209E+00	1.5356E-14	3.1209E+00	5.4836E+02
3.1219E+00	1.8802E-14	3.1219E+00	6.7143E+02
3.1229E+00	2.2762E-14	3.1229E+00	8.1286E+02
3.1239E+00	2.7128E-14	3.1239E+00	9.6875E+02
3.1248E+00	3.1759E-14	3.1248E+00	1.1341E+03
3.1258E+00	3.6499E-14	3.1258E+00	1.3034E+03
3.1267E+00	4.1180E-14	3.1267E+00	1.4706E+03
3.1275E+00	4.5638E-14	3.1275E+00	1.6298E+03
3.1284E+00	4.9722E-14	3.1284E+00	1.7756E+03
3.1292E+00	5.3298E-14	3.1292E+00	1.9033E+03
3.1300E+00	5.6261E-14	3.1300E+00	2.0091E+03
3.1308E+00	5.8531E-14	3.1308E+00	2.0902E+03
3.1315E+00	6.0063E-14	3.1315E+00	2.1449E+03
3.1322E+00	6.0838E-14	3.1322E+00	2.1726E+03
3.1329E+00	6.0867E-14	3.1329E+00	2.1736E+03
3.1336E+00	6.0183E-14	3.1336E+00	2.1492E+03
3.1342E+00	5.8840E-14	3.1342E+00	2.1012E+03
3.1348E+00	5.6907E-14	3.1348E+00	2.0322E+03
3.1354E+00	5.4461E-14	3.1354E+00	1.9448E+03
3.1359E+00	5.1588E-14	3.1359E+00	1.8422E+03
3.1365E+00	4.8375E-14	3.1365E+00	1.7275E+03
3.1370E+00	4.4909E-14	3.1370E+00	1.6037E+03
3.1375E+00	4.1272E-14	3.1375E+00	1.4738E+03
3.1379E+00	3.7541E-14	3.1379E+00	1.3406E+03
3.1383E+00	3.3786E-14	3.1383E+00	1.2065E+03
3.1387E+00	3.0070E-14	3.1387E+00	1.0738E+03
3.1391E+00	2.6445E-14	3.1391E+00	9.4437E+02
3.1395E+00	2.2958E-14	3.1395E+00	8.1985E+02
3.1398E+00	1.9647E-14	3.1398E+00	7.0162E+02
3.1401E+00	1.6543E-14	3.1401E+00	5.9076E+02
3.1403E+00	1.3670E-14	3.1403E+00	4.8816E+02
3.1406E+00	1.1046E-14	3.1406E+00	3.9448E+02
3.1408E+00	8.6869E-15	3.1408E+00	3.1021E+02
3.1410E+00	6.6011E-15	3.1410E+00	2.3573E+02
3.1412E+00	4.7960E-15	3.1412E+00	1.7127E+02
3.1413E+00	3.2761E-15	3.1413E+00	1.1699E+02
3.1414E+00	2.0439E-15	3.1414E+00	7.2990E+01
3.1415E+00	1.1010E-15	3.1415E+00	3.9318E+01
3.1416E+00	4.4803E-16	3.1416E+00	1.5999E+01
3.1416E+00	8.5033E-17	3.1416E+00	3.0366E+00

   16   	H, H (E= 19.9 eV CM Energy) --> H, H

P.S. Krstic, D.R. Schultz
IAEA-APID-8 (1998)
User Units	Authors' Units
Angle in sr (CenterOfMass)	Cross section in cm2	Differential cross sections cm2 vs rd (CenterOfMass)
7.6907E-06	9.5384E-17	7.6907E-06	3.4062E+00
4.0522E-05	5.0256E-16	4.0522E-05	1.7947E+01
9.9587E-05	1.2350E-15	9.9587E-05	4.4104E+01
1.8490E-04	2.2926E-15	1.8490E-04	8.1870E+01
2.9646E-04	3.6744E-15	2.9646E-04	1.3121E+02
4.3426E-04	5.3783E-15	4.3426E-04	1.9206E+02
5.9831E-04	7.4006E-15	5.9831E-04	2.6428E+02
7.8859E-04	9.7351E-15	7.8859E-04	3.4764E+02
1.0051E-03	1.2372E-14	1.0051E-03	4.4181E+02
1.2479E-03	1.5297E-14	1.2479E-03	5.4628E+02
1.5169E-03	1.8492E-14	1.5169E-03	6.6035E+02
1.8121E-03	2.1929E-14	1.8121E-03	7.8308E+02
2.1335E-03	2.5574E-14	2.1335E-03	9.1327E+02
2.4811E-03	2.9386E-14	2.4811E-03	1.0494E+03
2.8550E-03	3.3311E-14	2.8550E-03	1.1896E+03
3.2551E-03	3.7288E-14	3.2551E-03	1.3316E+03
3.6813E-03	4.1243E-14	3.6813E-03	1.4728E+03
4.1337E-03	4.5094E-14	4.1337E-03	1.6103E+03
4.6124E-03	4.8748E-14	4.6124E-03	1.7408E+03
5.1171E-03	5.2109E-14	5.1171E-03	1.8608E+03
5.6481E-03	5.5072E-14	5.6481E-03	1.9667E+03
6.2052E-03	5.7534E-14	6.2052E-03	2.0546E+03
6.7885E-03	5.9395E-14	6.7885E-03	2.1211E+03
7.3979E-03	6.0565E-14	7.3979E-03	2.1628E+03
8.0334E-03	6.0969E-14	8.0334E-03	2.1772E+03
8.6950E-03	6.0551E-14	8.6950E-03	2.1623E+03
9.3828E-03	5.9287E-14	9.3828E-03	2.1172E+03
1.0097E-02	5.7180E-14	1.0097E-02	2.0419E+03
1.0837E-02	5.4274E-14	1.0837E-02	1.9382E+03
1.1602E-02	5.0650E-14	1.1602E-02	1.8087E+03
1.2395E-02	4.6426E-14	1.2395E-02	1.6579E+03
1.3213E-02	4.1757E-14	1.3213E-02	1.4912E+03
1.4057E-02	3.6824E-14	1.4057E-02	1.3150E+03
1.4927E-02	3.1824E-14	1.4927E-02	1.1364E+03
1.5823E-02	2.6960E-14	1.5823E-02	9.6275E+02
1.6745E-02	2.2425E-14	1.6745E-02	8.0081E+02
1.7693E-02	1.8387E-14	1.7693E-02	6.5662E+02
1.8667E-02	1.4976E-14	1.8667E-02	5.3480E+02
1.9667E-02	1.2272E-14	1.9667E-02	4.3823E+02
2.0693E-02	1.0300E-14	2.0693E-02	3.6782E+02
2.1745E-02	9.0305E-15	2.1745E-02	3.2248E+02
2.2823E-02	8.3835E-15	2.2823E-02	2.9938E+02
2.3926E-02	8.2403E-15	2.3926E-02	2.9427E+02
2.5056E-02	8.4579E-15	2.5056E-02	3.0204E+02
2.6211E-02	8.8856E-15	2.6211E-02	3.1731E+02
2.7392E-02	9.3811E-15	2.7392E-02	3.3500E+02
2.8599E-02	9.8238E-15	2.8599E-02	3.5081E+02
2.9831E-02	1.0125E-14	2.9831E-02	3.6156E+02
3.1090E-02	1.0230E-14	3.1090E-02	3.6533E+02
3.2374E-02	1.0123E-14	3.2374E-02	3.6150E+02
3.3684E-02	9.8171E-15	3.3684E-02	3.5058E+02
3.5019E-02	9.3513E-15	3.5019E-02	3.3394E+02
3.6380E-02	8.7794E-15	3.6380E-02	3.1352E+02
3.7767E-02	8.1604E-15	3.7767E-02	2.9141E+02
3.9180E-02	7.5492E-15	3.9180E-02	2.6959E+02
4.0618E-02	6.9882E-15	4.0618E-02	2.4955E+02
4.2081E-02	6.5032E-15	4.2081E-02	2.3224E+02
4.3570E-02	6.1028E-15	4.3570E-02	2.1793E+02
4.5085E-02	5.7814E-15	4.5085E-02	2.0646E+02
4.6625E-02	5.5259E-15	4.6625E-02	1.9733E+02
4.8191E-02	5.3211E-15	4.8191E-02	1.9002E+02
4.9782E-02	5.1542E-15	4.9782E-02	1.8406E+02
5.1398E-02	5.0156E-15	5.1398E-02	1.7911E+02
5.3040E-02	4.8969E-15	5.3040E-02	1.7487E+02
5.4708E-02	4.7894E-15	5.4708E-02	1.7103E+02
5.6400E-02	4.6827E-15	5.6400E-02	1.6722E+02
5.8118E-02	4.5665E-15	5.8118E-02	1.6307E+02
5.9861E-02	4.4334E-15	5.9861E-02	1.5832E+02
6.1630E-02	4.2800E-15	6.1630E-02	1.5284E+02
6.3423E-02	4.1068E-15	6.3423E-02	1.4666E+02
6.5242E-02	3.9154E-15	6.5242E-02	1.3982E+02
6.7086E-02	3.7084E-15	6.7086E-02	1.3243E+02
