Heavy particle collisions / Elastic Scattering / H, H2
Differential cross sections
 
Validity limits and fit function with fit parameters


ID	Process	Reaction	Validity limits in sr	Energy origin	Limits in authors' unit	Fit function
1	EL	H, H2 (E= .100 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
2	EL	H, H2 (E= 1.00 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
3	EL	H, H2 (E= 1.25 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
4	EL	H, H2 (E= 1.58 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
5	EL	H, H2 (E= 1.99 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
6	EL	H, H2 (E= 2.51 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
7	EL	H, H2 (E= 3.16 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
8	EL	H, H2 (E= 3.98 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
9	EL	H, H2 (E= 5.01 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
10	EL	H, H2 (E= 6.30 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
11	EL	H, H2 (E= 7.94 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
12	EL	H, H2 (E= .125 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
13	EL	H, H2 (E= 10.0 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
14	EL	H, H2 (E= 19.9 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
15	EL	H, H2 (E= 50.1 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
16	EL	H, H2 (E= .158 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
17	EL	H, H2 (E= 100. eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
18	EL	H, H2 (E= .199 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
19	EL	H, H2 (E= .251 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
20	EL	H, H2 (E= .316 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
21	EL	H, H2 (E= .398 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
22	EL	H, H2 (E= .501 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
23	EL	H, H2 (E= .631 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
24	EL	H, H2 (E= .794 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
Units conversion	Graphic layouts	Output options
x	Energy origin	y

sr

Projectile

cm2
cm2
vs
sr	PNG file
PDF file
GZipped PostScript file
XML
Numerical data
   1   	H, H2 (E= .100 eV CM Energy) --> H, H2

P.S. Krstic, D.R. Schultz
IAEA-APID-8 (1998)
User Units	Authors' Units
Angle in sr (CenterOfMass)	Cross section in cm2	Differential cross sections cm2 vs rd (CenterOfMass)
1.9667E-02	5.5674E-14	1.9667E-02	1.9882E+03
2.0693E-02	4.6820E-14	2.0693E-02	1.6720E+03
2.1745E-02	3.9166E-14	2.1745E-02	1.3986E+03
2.2823E-02	3.2938E-14	2.2823E-02	1.1762E+03
2.3926E-02	2.8265E-14	2.3926E-02	1.0094E+03
2.5056E-02	2.5169E-14	2.5056E-02	8.9880E+02
2.6211E-02	2.3562E-14	2.6211E-02	8.4140E+02
2.7392E-02	2.3250E-14	2.7392E-02	8.3028E+02
2.8599E-02	2.3958E-14	2.8599E-02	8.5556E+02
2.9831E-02	2.5353E-14	2.9831E-02	9.0537E+02
3.1090E-02	2.7084E-14	3.1090E-02	9.6719E+02
3.2374E-02	2.8821E-14	3.2374E-02	1.0292E+03
3.3684E-02	3.0292E-14	3.3684E-02	1.0818E+03
3.5019E-02	3.1311E-14	3.5019E-02	1.1182E+03
3.6380E-02	3.1794E-14	3.6380E-02	1.1354E+03
3.7767E-02	3.1759E-14	3.7767E-02	1.1341E+03
3.9180E-02	3.1306E-14	3.9180E-02	1.1180E+03
4.0618E-02	3.0590E-14	4.0618E-02	1.0924E+03
4.2081E-02	2.9778E-14	4.2081E-02	1.0634E+03
4.3570E-02	2.9010E-14	4.3570E-02	1.0360E+03
4.5085E-02	2.8370E-14	4.5085E-02	1.0131E+03
4.6625E-02	2.7870E-14	4.6625E-02	9.9525E+02
4.8191E-02	2.7454E-14	4.8191E-02	9.8042E+02
4.9782E-02	2.7024E-14	4.9782E-02	9.6506E+02
5.1398E-02	2.6470E-14	5.1398E-02	9.4524E+02
5.3040E-02	2.5706E-14	5.3040E-02	9.1797E+02
5.4708E-02	2.4704E-14	5.4708E-02	8.8218E+02
5.6400E-02	2.3499E-14	5.6400E-02	8.3916E+02
5.8118E-02	2.2185E-14	5.8118E-02	7.9225E+02
5.9861E-02	2.0888E-14	5.9861E-02	7.4592E+02
6.1630E-02	1.9726E-14	6.1630E-02	7.0443E+02
6.3423E-02	1.8782E-14	6.3423E-02	6.7071E+02
6.5242E-02	1.8074E-14	6.5242E-02	6.4545E+02
6.7086E-02	1.7559E-14	6.7086E-02	6.2705E+02
6.8955E-02	1.7140E-14	6.8955E-02	6.1210E+02
7.0849E-02	1.6701E-14	7.0849E-02	5.9641E+02
7.2769E-02	1.6135E-14	7.2769E-02	5.7620E+02
7.4713E-02	1.5375E-14	7.4713E-02	5.4905E+02
7.6682E-02	1.4405E-14	7.6682E-02	5.1440E+02
7.8677E-02	1.3261E-14	7.8677E-02	4.7357E+02
8.0696E-02	1.2019E-14	8.0696E-02	4.2919E+02
8.2740E-02	1.0768E-14	8.2740E-02	3.8452E+02
8.4809E-02	9.5941E-15	8.4809E-02	3.4261E+02
8.6903E-02	8.5595E-15	8.6903E-02	3.0567E+02
8.9021E-02	7.6935E-15	8.9021E-02	2.7474E+02
9.1165E-02	6.9928E-15	9.1165E-02	2.4972E+02
9.3333E-02	6.4291E-15	9.3333E-02	2.2959E+02
9.5526E-02	5.9611E-15	9.5526E-02	2.1287E+02
9.7743E-02	5.5484E-15	9.7743E-02	1.9814E+02
9.9985E-02	5.1627E-15	9.9985E-02	1.8436E+02
1.0225E-01	4.7928E-15	1.0225E-01	1.7115E+02
1.0454E-01	4.4426E-15	1.0454E-01	1.5865E+02
1.0686E-01	4.1241E-15	1.0686E-01	1.4728E+02
1.0920E-01	3.8485E-15	1.0920E-01	1.3743E+02
1.1156E-01	3.6196E-15	1.1156E-01	1.2926E+02
1.1395E-01	3.4335E-15	1.1395E-01	1.2261E+02
1.1637E-01	3.2831E-15	1.1637E-01	1.1724E+02
1.1880E-01	3.1650E-15	1.1880E-01	1.1302E+02
1.2127E-01	3.0813E-15	1.2127E-01	1.1004E+02
1.2375E-01	3.0370E-15	1.2375E-01	1.0845E+02
1.2626E-01	3.0317E-15	1.2626E-01	1.0826E+02
1.2880E-01	3.0538E-15	1.2880E-01	1.0905E+02
1.3135E-01	3.0806E-15	1.3135E-01	1.1001E+02
1.3394E-01	3.0869E-15	1.3394E-01	1.1024E+02
1.3654E-01	3.0560E-15	1.3654E-01	1.0913E+02
1.3917E-01	2.9877E-15	1.3917E-01	1.0669E+02
1.4183E-01	2.8963E-15	1.4183E-01	1.0343E+02
1.4451E-01	2.8024E-15	1.4451E-01	1.0008E+02
1.4721E-01	2.7204E-15	1.4721E-01	9.7148E+01
1.4994E-01	2.6529E-15	1.4994E-01	9.4735E+01
1.5269E-01	2.5913E-15	1.5269E-01	9.2537E+01
1.5546E-01	2.5239E-15	1.5546E-01	9.0131E+01
1.5826E-01	2.4433E-15	1.5826E-01	8.7253E+01
1.6108E-01	2.3503E-15	1.6108E-01	8.3930E+01
1.6392E-01	2.2516E-15	1.6392E-01	8.0405E+01
1.6679E-01	2.1548E-15	1.6679E-01	7.6950E+01
1.6968E-01	2.0639E-15	1.6968E-01	7.3703E+01
1.7259E-01	1.9779E-15	1.7259E-01	7.0632E+01
1.7553E-01	1.8934E-15	1.7553E-01	6.7614E+01
1.7849E-01	1.8082E-15	1.7849E-01	6.4571E+01
1.8148E-01	1.7237E-15	1.8148E-01	6.1555E+01
1.8449E-01	1.6451E-15	1.8449E-01	5.8748E+01
1.8752E-01	1.5787E-15	1.8752E-01	5.6376E+01
1.9057E-01	1.5281E-15	1.9057E-01	5.4570E+01
1.9365E-01	1.4916E-15	1.9365E-01	5.3266E+01
1.9675E-01	1.4620E-15	1.9675E-01	5.2209E+01
1.9987E-01	1.4307E-15	1.9987E-01	5.1090E+01
2.0302E-01	1.3926E-15	2.0302E-01	4.9730E+01
2.0619E-01	1.3495E-15	2.0619E-01	4.8191E+01
2.0938E-01	1.3076E-15	2.0938E-01	4.6697E+01
2.1259E-01	1.2727E-15	2.1259E-01	4.5448E+01
2.1583E-01	1.2450E-15	2.1583E-01	4.4459E+01
2.1909E-01	1.2198E-15	2.1909E-01	4.3558E+01
2.2237E-01	1.1916E-15	2.2237E-01	4.2551E+01
2.2568E-01	1.1590E-15	2.2568E-01	4.1388E+01
2.2900E-01	1.1256E-15	2.2900E-01	4.0196E+01
2.3235E-01	1.0963E-15	2.3235E-01	3.9149E+01
2.3573E-01	1.0721E-15	2.3573E-01	3.8285E+01
2.3912E-01	1.0488E-15	2.3912E-01	3.7455E+01
2.4254E-01	1.0205E-15	2.4254E-01	3.6444E+01
2.4598E-01	9.8436E-16	2.4598E-01	3.5152E+01
2.4944E-01	9.4332E-16	2.4944E-01	3.3686E+01
2.5292E-01	9.0390E-16	2.5292E-01	3.2279E+01
2.5643E-01	8.7118E-16	2.5643E-01	3.1111E+01
2.5995E-01	8.4518E-16	2.5995E-01	3.0182E+01
2.6350E-01	8.2160E-16	2.6350E-01	2.9340E+01
2.6707E-01	7.9596E-16	2.6707E-01	2.8424E+01
2.7067E-01	7.6744E-16	2.7067E-01	2.7406E+01
2.7428E-01	7.3900E-16	2.7428E-01	2.6390E+01
2.7792E-01	7.1405E-16	2.7792E-01	2.5499E+01
2.8157E-01	6.9292E-16	2.8157E-01	2.4745E+01
2.8525E-01	6.7252E-16	2.8525E-01	2.4016E+01
2.8895E-01	6.4949E-16	2.8895E-01	2.3194E+01
2.9268E-01	6.2377E-16	2.9268E-01	2.2275E+01
2.9642E-01	5.9898E-16	2.9642E-01	2.1390E+01
3.0018E-01	5.7900E-16	3.0018E-01	2.0677E+01
3.0397E-01	5.6411E-16	3.0397E-01	2.0145E+01
3.0778E-01	5.5071E-16	3.0778E-01	1.9666E+01
3.1161E-01	5.3480E-16	3.1161E-01	1.9098E+01
3.1545E-01	5.1562E-16	3.1545E-01	1.8413E+01
3.1933E-01	4.9611E-16	3.1933E-01	1.7716E+01
3.2322E-01	4.7974E-16	3.2322E-01	1.7132E+01
3.2713E-01	4.6707E-16	3.2713E-01	1.6679E+01
3.3106E-01	4.5552E-16	3.3106E-01	1.6267E+01
3.3502E-01	4.4246E-16	3.3502E-01	1.5800E+01
3.3899E-01	4.2812E-16	3.3899E-01	1.5288E+01
3.4298E-01	4.1510E-16	3.4298E-01	1.4824E+01
3.4700E-01	4.0529E-16	3.4700E-01	1.4473E+01
3.5104E-01	3.9763E-16	3.5104E-01	1.4200E+01
3.5509E-01	3.8914E-16	3.5509E-01	1.3896E+01
3.5917E-01	3.7807E-16	3.5917E-01	1.3501E+01
3.6327E-01	3.6585E-16	3.6327E-01	1.3065E+01
3.6738E-01	3.5553E-16	3.6738E-01	1.2696E+01
3.7152E-01	3.4844E-16	3.7152E-01	1.2443E+01
3.7568E-01	3.4286E-16	3.7568E-01	1.2244E+01
3.7985E-01	3.3610E-16	3.7985E-01	1.2002E+01
3.8405E-01	3.2726E-16	3.8405E-01	1.1687E+01
3.8827E-01	3.1796E-16	3.8827E-01	1.1355E+01
3.9250E-01	3.1018E-16	3.9250E-01	1.1077E+01
3.9676E-01	3.0388E-16	3.9676E-01	1.0852E+01
4.0104E-01	2.9721E-16	4.0104E-01	1.0614E+01
4.0533E-01	2.8901E-16	4.0533E-01	1.0321E+01
4.0965E-01	2.8025E-16	4.0965E-01	1.0008E+01
4.1398E-01	2.7284E-16	4.1398E-01	9.7432E+00
4.1833E-01	2.6729E-16	4.1833E-01	9.5450E+00
4.2271E-01	2.6199E-16	4.2271E-01	9.3557E+00
4.2710E-01	2.5496E-16	4.2710E-01	9.1046E+00
4.3151E-01	2.4614E-16	4.3151E-01	8.7897E+00
4.3594E-01	2.3741E-16	4.3594E-01	8.4782E+00
4.4039E-01	2.3041E-16	4.4039E-01	8.2282E+00
4.4486E-01	2.2486E-16	4.4486E-01	8.0298E+00
4.4934E-01	2.1911E-16	4.4934E-01	7.8247E+00
4.5385E-01	2.1209E-16	4.5385E-01	7.5737E+00
4.5837E-01	2.0428E-16	4.5837E-01	7.2950E+00
4.6292E-01	1.9687E-16	4.6292E-01	7.0304E+00
4.6748E-01	1.9016E-16	4.6748E-01	6.7908E+00
4.7206E-01	1.8346E-16	4.7206E-01	6.5514E+00
4.7666E-01	1.7619E-16	4.7666E-01	6.2920E+00
4.8127E-01	1.6873E-16	4.8127E-01	6.0256E+00
4.8591E-01	1.6187E-16	4.8591E-01	5.7803E+00
4.9056E-01	1.5568E-16	4.9056E-01	5.5595E+00
4.9523E-01	1.4934E-16	4.9523E-01	5.3330E+00
4.9992E-01	1.4209E-16	4.9992E-01	5.0743E+00
5.0463E-01	1.3427E-16	5.0463E-01	4.7950E+00
5.0935E-01	1.2698E-16	5.0935E-01	4.5347E+00
5.1409E-01	1.2090E-16	5.1409E-01	4.3173E+00
5.1885E-01	1.1550E-16	5.1885E-01	4.1245E+00
5.2363E-01	1.0967E-16	5.2363E-01	3.9163E+00
5.2843E-01	1.0294E-16	5.2843E-01	3.6761E+00
5.3324E-01	9.5983E-17	5.3324E-01	3.4276E+00
5.3807E-01	8.9781E-17	5.3807E-01	3.2061E+00
5.4292E-01	8.4565E-17	5.4292E-01	3.0199E+00
5.4778E-01	7.9694E-17	5.4778E-01	2.8459E+00
5.5266E-01	7.4553E-17	5.5266E-01	2.6623E+00
5.5756E-01	6.9256E-17	5.5756E-01	2.4732E+00
5.6248E-01	6.4343E-17	5.6248E-01	2.2977E+00
5.6741E-01	5.9949E-17	5.6741E-01	2.1408E+00
5.7236E-01	5.5674E-17	5.7236E-01	1.9882E+00
5.7732E-01	5.1340E-17	5.7732E-01	1.8334E+00
5.8230E-01	4.7374E-17	5.8230E-01	1.6917E+00
5.8730E-01	4.4214E-17	5.8730E-01	1.5789E+00
5.9232E-01	4.1562E-17	5.9232E-01	1.4842E+00
5.9735E-01	3.8648E-17	5.9735E-01	1.3801E+00
6.0240E-01	3.5355E-17	6.0240E-01	1.2626E+00
6.0746E-01	3.2496E-17	6.0746E-01	1.1605E+00
6.1254E-01	3.0720E-17	6.1254E-01	1.0970E+00
6.1764E-01	2.9630E-17	6.1764E-01	1.0581E+00
6.2275E-01	2.8302E-17	6.2275E-01	1.0107E+00
6.2788E-01	2.6559E-17	6.2788E-01	9.4843E-01
6.3302E-01	2.5129E-17	6.3302E-01	8.9739E-01
6.3818E-01	2.4478E-17	6.3818E-01	8.7413E-01
6.4336E-01	2.4235E-17	6.4336E-01	8.6546E-01
6.4854E-01	2.3911E-17	6.4854E-01	8.5388E-01
6.5375E-01	2.3639E-17	6.5375E-01	8.4415E-01
6.5897E-01	2.3803E-17	6.5897E-01	8.5002E-01
6.6421E-01	2.4195E-17	6.6421E-01	8.6402E-01
6.6946E-01	2.4347E-17	6.6946E-01	8.6943E-01
6.7473E-01	2.4440E-17	6.7473E-01	8.7276E-01
6.8001E-01	2.5093E-17	6.8001E-01	8.9608E-01
6.8530E-01	2.6327E-17	6.8530E-01	9.4016E-01
6.9061E-01	2.7343E-17	6.9061E-01	9.7642E-01
6.9594E-01	2.7720E-17	6.9594E-01	9.8990E-01
7.0128E-01	2.8133E-17	7.0128E-01	1.0047E+00
7.0664E-01	2.9268E-17	7.0664E-01	1.0452E+00
7.1201E-01	3.0771E-17	7.1201E-01	1.0989E+00
7.1739E-01	3.1819E-17	7.1739E-01	1.1363E+00
7.2279E-01	3.2404E-17	7.2279E-01	1.1572E+00
7.2820E-01	3.3240E-17	7.2820E-01	1.1870E+00
7.3363E-01	3.4479E-17	7.3363E-01	1.2313E+00
7.3907E-01	3.5573E-17	7.3907E-01	1.2703E+00
7.4452E-01	3.6315E-17	7.4452E-01	1.2968E+00
7.4999E-01	3.7175E-17	7.4999E-01	1.3275E+00
7.5547E-01	3.8349E-17	7.5547E-01	1.3695E+00
7.6097E-01	3.9278E-17	7.6097E-01	1.4026E+00
7.6648E-01	3.9682E-17	7.6648E-01	1.4171E+00
7.7200E-01	4.0169E-17	7.7200E-01	1.4345E+00
7.7753E-01	4.1231E-17	7.7753E-01	1.4724E+00
7.8308E-01	4.2319E-17	7.8308E-01	1.5112E+00
7.8864E-01	4.2666E-17	7.8864E-01	1.5236E+00
7.9422E-01	4.2609E-17	7.9422E-01	1.5216E+00
7.9981E-01	4.3047E-17	7.9981E-01	1.5373E+00
8.0541E-01	4.3979E-17	8.0541E-01	1.5705E+00
8.1102E-01	4.4543E-17	8.1102E-01	1.5907E+00
8.1665E-01	4.4445E-17	8.1665E-01	1.5872E+00
8.2229E-01	4.4362E-17	8.2229E-01	1.5842E+00
8.2794E-01	4.4736E-17	8.2794E-01	1.5975E+00
8.3360E-01	4.5148E-17	8.3360E-01	1.6123E+00
8.3928E-01	4.5167E-17	8.3928E-01	1.6130E+00
8.4497E-01	4.5047E-17	8.4497E-01	1.6086E+00
8.5067E-01	4.5132E-17	8.5067E-01	1.6117E+00
8.5638E-01	4.5242E-17	8.5638E-01	1.6156E+00
8.6211E-01	4.5100E-17	8.6211E-01	1.6105E+00
8.6784E-01	4.4885E-17	8.6784E-01	1.6029E+00
8.7359E-01	4.4884E-17	8.7359E-01	1.6028E+00
8.7935E-01	4.4939E-17	8.7935E-01	1.6048E+00
8.8512E-01	4.4747E-17	8.8512E-01	1.5980E+00
8.9091E-01	4.4365E-17	8.9091E-01	1.5843E+00
8.9670E-01	4.4104E-17	8.9670E-01	1.5750E+00
9.0251E-01	4.4039E-17	9.0251E-01	1.5727E+00
9.0832E-01	4.3963E-17	9.0832E-01	1.5699E+00
9.1415E-01	4.3711E-17	9.1415E-01	1.5610E+00
9.1999E-01	4.3303E-17	9.1999E-01	1.5464E+00
9.2584E-01	4.2910E-17	9.2584E-01	1.5324E+00
9.3170E-01	4.2680E-17	9.3170E-01	1.5241E+00
9.3757E-01	4.2581E-17	9.3757E-01	1.5206E+00
9.4345E-01	4.2367E-17	9.4345E-01	1.5130E+00
9.4935E-01	4.1915E-17	9.4935E-01	1.4968E+00
9.5525E-01	4.1450E-17	9.5525E-01	1.4802E+00
9.6116E-01	4.1198E-17	9.6116E-01	1.4712E+00
9.6708E-01	4.1058E-17	9.6708E-01	1.4662E+00
9.7302E-01	4.0777E-17	9.7302E-01	1.4562E+00
9.7896E-01	4.0393E-17	9.7896E-01	1.4425E+00
9.8491E-01	4.0048E-17	9.8491E-01	1.4302E+00
9.9088E-01	3.9729E-17	9.9088E-01	1.4187E+00
9.9685E-01	3.9404E-17	9.9685E-01	1.4071E+00
1.0028E+00	3.9187E-17	1.0028E+00	1.3994E+00
1.0088E+00	3.9068E-17	1.0088E+00	1.3951E+00
1.0148E+00	3.8758E-17	1.0148E+00	1.3841E+00
1.0208E+00	3.8242E-17	1.0208E+00	1.3656E+00
1.0269E+00	3.7902E-17	1.0269E+00	1.3535E+00
1.0329E+00	3.7915E-17	1.0329E+00	1.3540E+00
1.0389E+00	3.7853E-17	1.0389E+00	1.3518E+00
1.0450E+00	3.7413E-17	1.0450E+00	1.3360E+00
1.0510E+00	3.6931E-17	1.0510E+00	1.3188E+00
1.0571E+00	3.6781E-17	1.0571E+00	1.3135E+00
1.0632E+00	3.6789E-17	1.0632E+00	1.3138E+00
1.0692E+00	3.6607E-17	1.0692E+00	1.3073E+00
1.0753E+00	3.6297E-17	1.0753E+00	1.2962E+00
1.0814E+00	3.6030E-17	1.0814E+00	1.2867E+00
1.0875E+00	3.5827E-17	1.0875E+00	1.2794E+00
1.0937E+00	3.5682E-17	1.0937E+00	1.2742E+00
1.0998E+00	3.5645E-17	1.0998E+00	1.2729E+00
1.1059E+00	3.5543E-17	1.1059E+00	1.2693E+00
1.1120E+00	3.5202E-17	1.1120E+00	1.2571E+00
1.1182E+00	3.4892E-17	1.1182E+00	1.2460E+00
1.1243E+00	3.4919E-17	1.1243E+00	1.2470E+00
1.1305E+00	3.5021E-17	1.1305E+00	1.2506E+00
1.1367E+00	3.4764E-17	1.1367E+00	1.2414E+00
1.1428E+00	3.4388E-17	1.1428E+00	1.2280E+00
1.1490E+00	3.4339E-17	1.1490E+00	1.2263E+00
1.1552E+00	3.4441E-17	1.1552E+00	1.2299E+00
1.1614E+00	3.4256E-17	1.1614E+00	1.2233E+00
1.1676E+00	3.3974E-17	1.1676E+00	1.2132E+00
1.1738E+00	3.3962E-17	1.1738E+00	1.2128E+00
1.1800E+00	3.3975E-17	1.1800E+00	1.2133E+00
1.1863E+00	3.3698E-17	1.1863E+00	1.2034E+00
1.1925E+00	3.3459E-17	1.1925E+00	1.1949E+00
1.1987E+00	3.3580E-17	1.1987E+00	1.1992E+00
1.2050E+00	3.3620E-17	1.2050E+00	1.2006E+00
1.2112E+00	3.3229E-17	1.2112E+00	1.1866E+00
1.2175E+00	3.2896E-17	1.2175E+00	1.1747E+00
1.2237E+00	3.3051E-17	1.2237E+00	1.1803E+00
1.2300E+00	3.3192E-17	1.2300E+00	1.1853E+00
1.2363E+00	3.2835E-17	1.2363E+00	1.1725E+00
1.2425E+00	3.2418E-17	1.2425E+00	1.1577E+00
1.2488E+00	3.2450E-17	1.2488E+00	1.1588E+00
1.2551E+00	3.2581E-17	1.2551E+00	1.1635E+00
1.2614E+00	3.2342E-17	1.2614E+00	1.1549E+00
1.2677E+00	3.1984E-17	1.2677E+00	1.1422E+00
1.2740E+00	3.1887E-17	1.2740E+00	1.1387E+00
1.2803E+00	3.1868E-17	1.2803E+00	1.1380E+00
1.2866E+00	3.1672E-17	1.2866E+00	1.1310E+00
1.2929E+00	3.1458E-17	1.2929E+00	1.1234E+00
1.2993E+00	3.1358E-17	1.2993E+00	1.1198E+00
1.3056E+00	3.1192E-17	1.3056E+00	1.1139E+00
1.3119E+00	3.0917E-17	1.3119E+00	1.1040E+00
1.3182E+00	3.0761E-17	1.3182E+00	1.0985E+00
1.3246E+00	3.0728E-17	1.3246E+00	1.0973E+00
1.3309E+00	3.0544E-17	1.3309E+00	1.0908E+00
1.3373E+00	3.0188E-17	1.3373E+00	1.0780E+00
1.3436E+00	2.9951E-17	1.3436E+00	1.0696E+00
1.3500E+00	2.9921E-17	1.3500E+00	1.0685E+00
1.3563E+00	2.9834E-17	1.3563E+00	1.0654E+00
1.3627E+00	2.9516E-17	1.3627E+00	1.0540E+00
1.3691E+00	2.9150E-17	1.3691E+00	1.0410E+00
1.3755E+00	2.8989E-17	1.3755E+00	1.0352E+00
1.3818E+00	2.8983E-17	1.3818E+00	1.0350E+00
1.3882E+00	2.8818E-17	1.3882E+00	1.0291E+00
1.3946E+00	2.8390E-17	1.3946E+00	1.0138E+00
1.4010E+00	2.8030E-17	1.4010E+00	1.0010E+00
1.4074E+00	2.8010E-17	1.4074E+00	1.0002E+00
1.4137E+00	2.8019E-17	1.4137E+00	1.0006E+00
1.4201E+00	2.7638E-17	1.4201E+00	9.8697E-01
1.4265E+00	2.7117E-17	1.4265E+00	9.6838E-01
1.4329E+00	2.6995E-17	1.4329E+00	9.6402E-01
1.4393E+00	2.7101E-17	1.4393E+00	9.6780E-01
1.4457E+00	2.6828E-17	1.4457E+00	9.5805E-01
1.4521E+00	2.6256E-17	1.4521E+00	9.3761E-01
1.4585E+00	2.6016E-17	1.4585E+00	9.2905E-01
1.4649E+00	2.6111E-17	1.4649E+00	9.3244E-01
1.4713E+00	2.5930E-17	1.4713E+00	9.2599E-01
1.4777E+00	2.5409E-17	1.4777E+00	9.0738E-01
1.4842E+00	2.5099E-17	1.4842E+00	8.9630E-01
1.4906E+00	2.5102E-17	1.4906E+00	8.9642E-01
1.4970E+00	2.4950E-17	1.4970E+00	8.9099E-01
1.5034E+00	2.4536E-17	1.5034E+00	8.7620E-01
1.5098E+00	2.4231E-17	1.5098E+00	8.6530E-01
1.5162E+00	2.4120E-17	1.5162E+00	8.6134E-01
1.5226E+00	2.3929E-17	1.5226E+00	8.5451E-01
1.5291E+00	2.3622E-17	1.5291E+00	8.4355E-01
1.5355E+00	2.3382E-17	1.5355E+00	8.3500E-01
1.5419E+00	2.3180E-17	1.5419E+00	8.2776E-01
1.5483E+00	2.2902E-17	1.5483E+00	8.1786E-01
1.5547E+00	2.2662E-17	1.5547E+00	8.0928E-01
1.5612E+00	2.2515E-17	1.5612E+00	8.0404E-01
1.5676E+00	2.2274E-17	1.5676E+00	7.9542E-01
1.5740E+00	2.1909E-17	1.5740E+00	7.8238E-01
1.5804E+00	2.1684E-17	1.5804E+00	7.7437E-01
1.5869E+00	2.1620E-17	1.5869E+00	7.7206E-01
1.5933E+00	2.1393E-17	1.5933E+00	7.6396E-01
1.5997E+00	2.0970E-17	1.5997E+00	7.4884E-01
1.6061E+00	2.0713E-17	1.6061E+00	7.3969E-01
1.6125E+00	2.0686E-17	1.6125E+00	7.3872E-01
